Name,Manufacturer,Cartridge,Country,Year
2mm Kolibri,Franz Pfannl,2.7 mm,Kingdom of Hungary,1914
Akdal Ghost TR01,Akdal Arms,9×19mm Parabellum,Turkey,1990
ALFA Combat,ALFA-PROJ,9×19mm Parabellum,Czechoslovakia,1980
ALFA Defender,ALFA-PROJ,9×19mm Parabellum,Czechoslovakia,1982
AMT AutoMag II,Arcadia Machine & Tool,.22 Winchester Magnum Rimfire,United States,1970
AMT AutoMag III,Arcadia Machine & Tool,.30 Carbine,United States,1970
AMT AutoMag IV,Arcadia Machine & Tool,.45 Winchester Magnum,United States,1970
AMT AutoMag V,Arcadia Machine & Tool,.50 Action Express,United States,1970
AMT Backup,Arcadia Machine & Tool,.22 Long Rifle,United States,1978
AMT Hardballer,Arcadia Machine & Tool,.45 ACP,United States,1977
AMT Lightning pistol,Arcadia Machine & Tool,.22 Long Rifle,United States,1980
AMT Skipper,Arcadia Machine & Tool,.45 ACP,United States,1960
Armatix iP1,Armatix GmbH,.22 Long Rifle,Germany,2006
"Arsenal Firearms AF1 ""Strike One""",Arsenal Firearms,9×19mm Parabellum,Russia,2012
Arsenal P-M02,Arsenal AD,9×19mm Parabellum,Bulgaria,1999
Ashani,Indian Ordnance Factory,.32 ACP,India,1999
ASP pistol,Armament Systems and Procedures,9×19mm Parabellum,United States,1970
Astra 400,Astra-Unceta y Cia SA,9×23mm Largo,Spain,1921
Astra 600,Astra-Unceta y Cia SA,9×19mm Parabellum,Spain,1943
Astra Model 900,Astra-Unceta y Cia SA,7.63×25mm Mauser,Spain,1927
Astra Model 903,Astra-Unceta y Cia SA,7.63×25mm Mauser,Spain,1927
Astra A-60,Astra-Unceta y Cia SA,.32 ACP,Spain,1969
Astra A-80,Astra-Unceta y Cia SA,7.65×21mm Parabellum,Spain,1982
Astra A-100,Astra-Unceta y Cia SA,9×19mm Parabellum,Spain,1990
AutoMag (pistol),Arcadia Machine & Tool,.44 Magnum,United States,1969
Ballester–Molina,Hispano Argentina de Automotives SA,.45 ACP,Argentina,1938
Bauer Automatic,Bauer Firearms Co.,.25 ACP,United States,1970
Bayard 1908,Anciens Etablissements Pieper,.25 ACP,Belgium,1908
Bechowiec-1,Bataliony Chłopskie,9×19mm Parabellum,Poland,1943
Beholla pistol,Waffenfabrik August Menz,.32 ACP,German Empire,1915
Benelli B76,Benelli Armi SpA,9×19mm Parabellum,Italy,1976
Benelli MP 90S,Benelli Armi SpA,.32 S&W Long,Italy,1976
